nconst,actor,primaryName,actress,knownForTitles,director,tconst,titleType,originalTitle,startYear,Drama,Comedy,Romance,Thriller,genres,job
nm0764130,1,Jeorge Santos,0,tt0063387,0,tt0063387,movie,The Omegans,1968,0,0,1,0,Romance,actor
nm0947472,1,John Yench,0,tt0063387,0,tt0063387,movie,The Omegans,1968,0,0,1,0,Romance,actor
nm0413244,1,A.P. Jackson,0,tt0004567,0,tt0004567,movie,The Seats of the Mighty,1914,1,0,0,0,Drama,actor
nm0415308,1,Alex Jadokimov,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm0437838,1,Ryokei Kanogogi,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm0789368,1,Jamal Shasad,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm0938583,1,Robert Wolley,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm3842999,0,Mela Hubert-Trimbal,1,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actress
nm3843592,1,Mohammed Sedrihini,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm3844195,1,Tony Carroll,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm4007185,1,Robert Silano,0,tt0074962,0,tt0074962,movie,The Next Man,1976,0,0,0,1,Thriller,actor
nm0417175,1,Eric Jamison,0,tt0106451,0,tt0106451,movie,Body Shot,1994,0,0,0,1,Thriller,actor
nm0447589,1,Elliott Kendall,0,tt0106451,0,tt0106451,movie,Body Shot,1994,0,0,0,1,Thriller,actor
nm0494156,1,Robert Le Brun,0,tt0106451,0,tt0106451,movie,Body Shot,1994,0,0,0,1,Thriller,actor
nm0511755,1,Hank Linderman,0,tt0106451,0,tt0106451,movie,Body Shot,1994,0,0,0,1,Thriller,actor
nm0659953,1,Don Panzik,0,tt0106451,0,tt0106451,movie,Body Shot,1994,0,0,0,1,Thriller,actor
nm0716836,0,Julie Rehm,1,tt0106451,0,tt0106451,movie,Body Shot,1994,0,0,0,1,Thriller,actress
nm0421077,0,Trixie Jennery,1,tt0004257,0,tt0004257,movie,The Lost Paradise,1914,1,0,0,0,Drama,actress
nm0821959,0,Rita Stan,1,tt0004257,0,tt0004257,movie,The Lost Paradise,1914,1,0,0,0,Drama,actress
nm0421447,0,Gale Jensen,1,tt0069944,0,tt0069944,movie,The Daring Dobermans,1973,0,0,0,1,Thriller,actress
nm0537373,1,Don Maich,0,tt0069944,0,tt0069944,movie,The Daring Dobermans,1973,0,0,0,1,Thriller,actor
nm0422627,0,Joyce Jiang,1,tt0110658,0,tt0110658,movie,Ni hong guang guan gao gao gua zhi: Nu zi gong yu,1994,0,0,1,0,Romance,actress
nm0910944,1,Jimmy Wang,0,tt0110658,0,tt0110658,movie,Ni hong guang guan gao gao gua zhi: Nu zi gong yu,1994,0,0,1,0,Romance,actor
nm0424052,1,Roland Johansson,0,tt0078805,0,tt0078805,movie,Attentatet,1980,0,0,0,1,Thriller,actor
nm0424957,0,Diane Johnson,1,tt0112656,0,tt0112656,movie,Chameleon,1995,0,0,0,1,Thriller,actress
nm0425240,1,Howard Johnson,0,tt0009334,0,tt0009334,movie,The Make-Believe Wife,1918,0,1,0,0,Comedy,actor
nm0426513,1,Adam Johnston,0,tt0119015,0,tt0119015,movie,Downtime,1997,0,0,1,0,Romance,actor
nm13840640,1,Paul Martin,0,tt0119015,0,tt0119015,movie,Downtime,1997,0,0,1,0,Romance,actor
nm0430910,1,William Jossey,0,tt0004636,0,tt0004636,movie,St. Elmo,1914,1,0,0,0,Drama,actor
nm0431899,0,Elwell Judge,1,tt0009474,0,tt0009474,movie,A Pair of Cupids,1918,0,1,0,0,Comedy,actress
nm0431907,1,John Judge,0,tt0009474,0,tt0009474,movie,A Pair of Cupids,1918,0,1,0,0,Comedy,actor
nm0435749,0,Lillian Kalich,1,tt0004306,0,tt0004306,movie,Marta of the Lowlands,1914,1,0,0,0,Drama,actress
nm0436091,1,Michael Kalmansohn,0,tt0075921,0,tt0075921,movie,Death Game,1977,0,0,0,1,Thriller,actor
nm0442439,0,Marjut Kauppinen,1,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actress
nm1701709,1,Jan Johansson,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
nm2218365,1,Peter Abbott,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
nm2811199,1,Heinrich Bremer,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
nm2811216,1,Francis Lees,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
nm2811244,1,Kingsley Hart,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
nm2811265,1,Rainer Gustafsson,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
nm2811272,1,Christina Hartmann,0,tt0093325,0,tt0093325,movie,Tropic of Ice - Jään kääntöpiiri,1987,0,0,0,1,Thriller,actor
