,0
0848226,Constance Talmadge
0254457,Frank Elliott
0686032,Zasu Pitts
0174720,William Conklin
0048798,Nellie Bly Baker
0562805,Eric Mayne
0919972,William Wellesley
0300615,Jacqueline Gadsdon
0931460,Percy Williams
0665874,John Patrick
0012434,Mama's Affair
0281808,Victor Fleming
0788275,Effie Shannon
0363218,Kenneth Harlan
0499548,George LeGuere
0434469,Katharine Kaelred
0494130,Gertrude Le Brandt
0007619,Aladdin's Other Lamp
0172413,John H. Collins
0199087,Viola Dana
0908154,Robert Walker
0680232,Augustus Phillips
0356267,Henry Hallam
0020947,Ricca Allen
0253815,Edward Elkas
0335584,Nellie Grant
0284187,Louis B. Foley
0533887,Elsie MacLeod
0014572,Vanity Fair
0050846,Hugo Ballin
0050849,Mabel Ballin
0909648,George Walsh
0001230,Harrison Ford
0289317,Earle Foxe
0090187,Eleanor Boardman
0521919,Willard Louis
0532944,Bobbie Mack
0401967,William Humphrey
0559999,Dorcas Matthews
0479126,Laura La Varnie
0546121,James A. Marcus
0009929,Eugene Acker
0683114,Tempe Pigott
0330585,Sadie Gordon
0792065,Georgia Sherart
0371017,Frank Hayes
0571950,John McKinnon
0060968,Les Bates
0129930,Pat Calhoun
0689485,Laura Pollard
0150364,Kathleen Chambers
0628568,Mrs. A. Newton
0330763,Rosa Gore
0427995,Ed Jones
0405160,Bynunsky Hyman
0559059,Otto Matieson
0016555,You're Fired
0047534,William Bailey
0713136,Alma Rayford
0571602,Robert McKenzie
0520380,Theodore Lorch
8452727,Velma Watkins
0021139,Victor Allen
8452728,Sam Bloom
0113560,Floyce Brown
0008160,The Kingdom of Love
0515979,Frank Lloyd
0138386,Jewel Carmen
0145776,Nancy Caswell
0088475,Genevieve Blinn
1211330,Fred Milton
0543309,Joseph Manning
0638566,G. Raymond Nye
0534259,Murdock MacQuarrie
0478890,Dick La Reno
0017132,Memory Lane
0821472,John M. Stahl
0619261,Conrad Nagel
0354313,William Haines
0827385,John Steppling
0201660,Frankie Darro
0267638,Dot Farley
0822061,Joan Standing
0585606,Florence Midgley
0298202,Dale Fuller
0071616,Billie Bennett
0007026,The Man in Motley
0223267,Ralph Dewsbury
0604658,Fred Morgan
0387591,Hayford Hobbs
0755571,Winifred Sadler
0382104,Philip Hewland
0932346,Hubert Willis
0055251,Jeff Barlow
0338028,Judd Green
0247534,John East
0008889,The Blind Adventure
0749484,Wesley Ruggles
0247305,Edward Earle
0397781,Betty Howe
0634920,Frank Norcross
0740321,Gilbert Rooney
0828898,Charles A. Stevenson
0942412,George A. Wright
0822071,Percy Standing
0836312,John Sturgeon
0015579,As Man Desires
0191899,Irving Cummings
0166681,Ruth Clifford
0857302,Rosemary Theby
0629902,Paul Nicholson
0448366,Tom Kennedy
0668391,Louis Payne
0910398,Anna Mae Walthall
0022701,Edneh Altemus
0500212,Frank Leigh
0820411,Robert St. Angelo
0011672,The Sea Wolf
0577654,George Melford
0840042,A. Edward Sutherland
0519227,Walter Long
0403151,Fred Huntley
0779530,Mabel Julienne Scott
0286379,Tom Forman
0780705,Kamuela C. Searle
3989506,Peggy Pearce
0016065,Madame Sans-Gêne
0841797,Gloria Swanson
0236825,Émile Drain
0211191,Charles de Rochefort
0347605,Madeleine Guitty
0911914,Warwick Ward
0269423,Guy Favières
0405743,Renée Héribel
0080572,Suzanne Bianchetti
0521223,Denise Lorys
0545349,Arlette Marchal
0549409,André Marnay
2488183,Alberti
0034580,Alfred Argus
0043339,Carlos Avril
5543369,De Barthe
5543495,C. Borelle
0105482,Pierre Brasseur
1250833,Suzy Béryl
0131452,Manuel Caméré
0160271,Jacques Christiany
5543578,Juliette Clary
0183983,Léon Courtois
0201733,Luc Dartagnan
5542976,Paul Daubry
5542819,Madame de Beauplan
3155582,Jean De Sauvejunte
5542534,Y. Delaître
0217606,Pierre Delmonde
0217812,Suzanne Delprato
5543120,J. Delys
2882459,Gaston Derigal
5543518,A. Dheibe
1257008,Christiane Dorivy
0269403,Christiane Favier
0304849,Jean Garat
0346912,Robert Guilbert
5542870,Hanoyer
0399479,Paul Hubert
0415241,Jean Jacquinet
0449136,Émile Keppens
0467642,Diana Kotchaki
0478770,Georges de La Noë
5298140,Lebreton
0496178,Charles Leclerc
0520887,Jean Lorette
5542425,Madame Marelli
0560942,Ernest Maupain
5543584,C. Meignan
0597968,Louis Monfils
5542648,L. Morières
0605849,Laurent Morléas
5542221,Mussy
0617041,Émile Mylo
0622036,Mario Nasthasio
0660012,Raoul Paoli
0708209,Pierre de Ramey
0723790,Émilien Richard
5542860,José Roland
5542593,Madame Roth
5542711,De Rubens
2291889,Jacques Révérend
0643213,Émile Saint-Ober
0758004,Lionel Salem
0431730,Roger San Juana
0760842,Louis Sance
0814823,Georgette Sorelle
0847853,Suzanne Talba
5542969,J. Tisserand
0874575,Georges Tréville
5542899,M. Valentin
0886034,Renée van Delly
5542935,Vicherat
1258767,Raoul Villiers
0903330,Louis Vonelly
5543028,G. Young
5542088,Frédéric Zuifel
0754821,Jean Sablon
0001530,The Bushranger's Bride
0738202,Alfred Rolfe
0198972,Lily Dampier
0519315,Raymond Longford
0528022,Lottie Lyell
0010869,What Every Woman Learns
0629243,Fred Niblo
0071746,Enid Bennett
0461438,Lydia Knott
0731623,Theodore Roberts
0011302,Man of the Sea
0478303,Marcel L'Herbier
0000964,Charles Boyer
0695887,Claire Prélia
1289475,Suzanne Doris
0405742,Philippe Hériat
0695078,Marcelle Pradot
0439452,Roger Karl
0146019,Jaque Catelain
0002193,Claude Autant-Lara
0126885,Jeanne Bérangère
0202555,André Daven
0231256,Jane Dolys
1039876,Dimitri Dragomir
1287228,Georges Forois
0701720,Pâquerette
0728978,Marcel Rival
0760402,Lili Samuel
0015229,Pied Piper Malone
0337586,Alfred E. Green
0933773,Lois Wilson
0242562,Emma Dunn
0269493,George Fawcett
