,,tensor_edges,max_edges,pos_max_edges,min_edges,pos_min_edges
23,"tensor(521, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([-7.5462e-09,  2.2382e-08,  2.4868e-08,  ...,
                       4.2578e-09, -1.8632e-07, -1.2909e-08]),
       size=(24, 2835), nnz=25176, layout=torch.sparse_coo)",17.013744354248047,"tensor([[ 15, 522]])",-25.82643699645996,"tensor([[  4, 521]])"
24,"tensor(2450, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  27,   28,   37,  ..., 2821, 2827, 2828]]),
       values=tensor([-3.4587e-05, -2.5628e-06,  4.0015e-06,  ...,
                       1.7967e-06, -3.2385e-05, -3.6455e-07]),
       size=(24, 2835), nnz=3912, layout=torch.sparse_coo)",3.4618704319000244,"tensor([[   1, 2450]])",-2.7791285514831543,"tensor([[  11, 2450]])"
25,"tensor(1064, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  27,   28,   37,  ..., 2821, 2827, 2828]]),
       values=tensor([ 1.5812e-05,  2.6175e-06, -3.4991e-06,  ...,
                      -1.5638e-06,  4.8202e-06,  2.8554e-07]),
       size=(24, 2835), nnz=4224, layout=torch.sparse_coo)",18.25895118713379,"tensor([[   4, 2244]])",-19.27497100830078,"tensor([[   0, 2393]])"
26,"tensor(1882, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    1,    2,  ..., 2826, 2829, 2831]]),
       values=tensor([ 0.0006, -0.0002, -0.0003,  ..., -0.0043, -0.0028,
                      -0.0007]),
       size=(24, 2835), nnz=29256, layout=torch.sparse_coo)",27.56572914123535,"tensor([[   1, 1426]])",-30.629735946655273,"tensor([[  18, 1426]])"
27,"tensor(1456, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([-5.9632e-09,  1.8468e-08,  2.0361e-08,  ...,
                       3.5406e-09, -1.5289e-07, -1.0665e-08]),
       size=(24, 2835), nnz=25104, layout=torch.sparse_coo)",10.242612838745117,"tensor([[  11, 2737]])",-7.2769269943237305,"tensor([[   1, 2737]])"
28,"tensor(78, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 4.0682e-05, -1.1704e-04, -2.8446e-04,  ...,
                       2.5688e-04,  2.7209e-05,  1.2466e-04]),
       size=(24, 2835), nnz=4896, layout=torch.sparse_coo)",139.63458251953125,"tensor([[   0, 1896]])",-204.91854858398438,"tensor([[  11, 1896]])"
29,"tensor(1709, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    2,    3,  ..., 2826, 2829, 2831]]),
       values=tensor([-4.8364e-07, -3.5897e-07, -2.1019e-07,  ...,
                       3.3687e-08,  7.6576e-07,  1.1095e-07]),
       size=(24, 2835), nnz=22464, layout=torch.sparse_coo)",0.9412798285484314,"tensor([[   1, 1709]])",-1.3056037425994873,"tensor([[   0, 1709]])"
30,"tensor(2766, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 1.1129e-06,  1.7169e-05,  9.2300e-05,  ...,
                      -1.0472e-04, -1.4721e-05, -6.1488e-05]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",0.9224937558174133,"tensor([[   6, 2766]])",-1.2168291807174683,"tensor([[   0, 2766]])"
31,"tensor(1543, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   2,   27,   28,  ..., 2827, 2828, 2834]]),
       values=tensor([ 1.8980e-01,  1.2831e+01,  2.6642e-06,  ...,
                       9.7946e-06, -3.5763e-01,  1.1109e-02]),
       size=(24, 2835), nnz=4680, layout=torch.sparse_coo)",241.68267822265625,"tensor([[   1, 1148]])",-142.06192016601562,"tensor([[  0, 771]])"
32,"tensor(212, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  25,   41,   71,  ..., 2673, 2718, 2750]]),
       values=tensor([ 3.0542e-01,  1.7089e-02, -1.8284e+00,  ...,
                       9.2242e-06,  6.2325e-07,  4.3957e-05]),
       size=(24, 2835), nnz=2352, layout=torch.sparse_coo)",3612.43310546875,"tensor([[   4, 1845]])",-3645.15966796875,"tensor([[ 18, 498]])"
33,"tensor(1966, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  10,   20,   36,  ..., 2830, 2831, 2832]]),
       values=tensor([ 1.5578e-06,  3.1421e-05,  1.4720e-04,  ...,
                      -1.6143e-04, -2.3744e-05, -1.0744e-04]),
       size=(24, 2835), nnz=5640, layout=torch.sparse_coo)",4.544978618621826,"tensor([[   9, 1949]])",-8.54611587524414,"tensor([[  18, 1444]])"
34,"tensor(2490, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  27,   28,   37,  ..., 2821, 2827, 2828]]),
       values=tensor([-4.4259e-06, -3.1261e-06,  4.1567e-06,  ...,
                       3.5092e-06, -4.1581e-04, -4.7727e-07]),
       size=(24, 2835), nnz=4488, layout=torch.sparse_coo)",455.70611572265625,"tensor([[  15, 1826]])",-662.91552734375,"tensor([[  18, 1826]])"
35,"tensor(41, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [  41,   45,   71,  ..., 2673, 2718, 2750]]),
       values=tensor([ 6.5570e+00,  2.1681e-01,  9.4123e-06,  ...,
                      -4.5216e-06, -3.6079e-01, -7.0169e-06]),
       size=(24, 2835), nnz=2184, layout=torch.sparse_coo)",231.95782470703125,"tensor([[  18, 1392]])",-241.3880615234375,"tensor([[   6, 1392]])"
